x,y,region,horizon,host,REE_anom,F_LREE,F_HREE,F_HFSE,favourability
662780.79,943027.63,ROI,S,Metasediment,0.4723743997937547,0.08467596849638188,0.732099308359653,0.9674969016111622,0.2527885499540239
648750.84,940733.24,ROI,S,Metasediment,0.5782604492281912,0.04089873265901731,0.5506336704913445,0.9933634510054772,0.5350817574861072
644984.7,944446.48,ROI,S,Metasediment,0.18688569495021107,0.09650981489625395,0.7622436333106785,0.07144284971814656,0.13289089673369847
648780.88,945488.22,ROI,S,Metasediment,0.6340514324385292,0.8746651741094631,0.03949946028065406,0.698836604965418,0.9084875864550433
642518.25,945526.27,ROI,S,Metasediment,0.5746592117559859,0.3256706512613441,0.32750969495862153,0.8290089153640107,0.557869907648023
652948.95,942691.78,ROI,S,Metasediment,0.5303647964938288,0.3784032303202335,0.30396193979130853,0.8250509734937832,0.40554911446048053
657621.92,942240.84,ROI,S,Metasediment,0.5757710031903579,0.6263542957662016,0.7410946307919881,0.5646663734857874,0.25806580578099386
636799.3,927157.25,ROI,S,Metasediment,0.2497663626695884,0.3113580937912286,0.007476112421540799,0.9653380242274018,0.24899052492703794
661112.17,944470.34,ROI,S,Metasediment,0.2776336566659147,0.00947507296205973,0.7297405349218407,0.9438292088114181,0.07180266261543997
638206.88,915671.69,ROI,S,Metasediment,0.6061841384422031,0.33426618158557553,0.5362811338104185,0.949106464638388,0.688282093311478
638986.99,943231.8,ROI,S,Metasediment,0.6665109084463924,0.4463678886978771,0.723024027505697,0.6610562507496102,0.4389717346979571
660988.19,943041.64,ROI,S,Metasediment,0.1843801359930392,0.2060928317275017,0.7719985607484108,0.01115419981609563,0.04457682005357214
630553.62,924503.88,ROI,S,Metasediment,0.9030646772582255,0.7840323032023347,0.7293407428137368,0.2598648702674609,0.9650981489625394
633666.0,929418.8,ROI,S,Other,0.26790145338532434,0.22492304001919003,0.5377603646104026,0.7259425098948546,0.20409387118698277
634603.66,916750.5,ROI,S,Metasediment,0.7174438464761045,0.36089233598528764,0.4534841882221245,0.915843761244153,0.6500619677767561
636748.29,925236.66,ROI,S,Metasediment,0.5107634301182689,0.8330867948666694,0.2385959301163395,0.6277935473553752,0.8264502458721464
631239.39,917285.41,ROI,S,Metasediment,0.7245577003641519,0.6116019669771718,0.594290968696278,0.6939991204573621,0.777515691840243
631667.4,926355.47,ROI,S,Metasediment,0.8482888079662274,0.9351537200655659,0.4199016511414065,0.21145004597609243,0.9287170671250949
648799.85,942416.88,ROI,S,Metasediment,0.5984015984015983,0.28261304121856634,0.5708231719505857,0.9215607883900372,0.7712389557430136
646889.12,926918.21,ROI,S,Metasediment,0.7979842737907255,0.6643345460360612,0.060008795426378284,0.9134849878063407,0.9751729100867549
629242.8,915336.85,ROI,S,Metasediment,0.6473929296509943,0.7340582896893615,0.1730300243873186,0.7110702434733939,0.7015951705113341
