FID;UNITNAME;AGEBRACKET;UNITTABLEL
0;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
1;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
2;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
3;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
4;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
5;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
6;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
7;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
8;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
9;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
10;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
11;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
12;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
13;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
14;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
15;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
16;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
17;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
18;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
19;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
20;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
21;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
22;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
23;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
24;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
25;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
26;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
27;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
28;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
29;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
30;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
31;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
32;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
33;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
34;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
35;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
36;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
37;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
38;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
39;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
40;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
41;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
42;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
43;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
44;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
45;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
46;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
47;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
48;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
49;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
50;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
51;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
52;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
53;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
54;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
55;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
56;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
57;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
58;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
59;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
60;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
61;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
62;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
63;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
64;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
65;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
66;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
67;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
68;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
69;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
70;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
71;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
72;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
73;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
74;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
75;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
76;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
77;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
78;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
79;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
80;ORS, sandstone, conglomerate & mudstone;Palaeozoic, Devonian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_07.pdf
81;ORS, sandstone, conglomerate & mudstone;Palaeozoic, Devonian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_07.pdf
82;ORS, sandstone, conglomerate & mudstone;Palaeozoic, Devonian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_07.pdf
83;ORS, sandstone, conglomerate & mudstone;Palaeozoic, Devonian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_07.pdf
84;ORS, sandstone, conglomerate & mudstone;Palaeozoic, Devonian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_07.pdf
85;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
86;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
87;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
88;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
89;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
90;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
91;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
92;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
93;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
94;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
95;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
96;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
97;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
98;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
99;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
100;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
101;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
102;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
103;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
104;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
105;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
106;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
107;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
108;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
109;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
110;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
111;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
112;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
113;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
114;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
115;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
116;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
117;Ordovician volcanic rocks;Palaeozoic, Ordovician;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
118;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
119;Tournaisian sandstone, mudstone, limestone;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_08.pdf
120;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
121;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
122;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
123;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
124;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
125;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
126;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
127;Namurian shale, sandstone, siltstone & coal;Palaeozoic, Carboniferous, Pennsylvanian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_10.pdf
