FID;UNITNAME;AGEBRACKET;UNITTABLEL
1051;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
1052;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
1053;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
1054;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
1055;Late Ordovician-Silurian deep marine  greywacke, mudstone (Longford-Down);Palaeozoic, Ordovician - Silurian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
1056;Late Ordovician-Silurian deep marine  greywacke, mudstone (Longford-Down);Palaeozoic, Ordovician - Silurian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
1057;Late Ordovician-Silurian deep marine  greywacke, mudstone (Longford-Down);Palaeozoic, Ordovician - Silurian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
1058;Late Ordovician-Silurian deep marine  greywacke, mudstone (Longford-Down);Palaeozoic, Ordovician - Silurian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
1059;Late Ordovician-Silurian deep marine  greywacke, mudstone (Longford-Down);Palaeozoic, Ordovician - Silurian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
1060;Late Ordovician-Silurian deep marine  greywacke, mudstone (Longford-Down);Palaeozoic, Ordovician - Silurian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
1061;Late Ordovician-Silurian deep marine  greywacke, mudstone (Longford-Down);Palaeozoic, Ordovician - Silurian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
1062;Late Ordovician-Silurian deep marine  greywacke, mudstone (Longford-Down);Palaeozoic, Ordovician - Silurian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
1063;Late Ordovician-Silurian deep marine  greywacke, mudstone (Longford-Down);Palaeozoic, Ordovician - Silurian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
1064;Late Ordovician-Silurian deep marine  greywacke, mudstone (Longford-Down);Palaeozoic, Ordovician - Silurian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
1065;Siluro-Devonian granitic rocks & appinite;Caledonian (Silurian - Devonian);https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_06.pdf
1066;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
1067;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
1068;Ordovician granitic rocks;Lower Palaeozoic;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_04.pdf
1069;Silurian deep marine mudstone, greywacke & conglomerate;Palaeozoic, Silurian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_05.pdf
1070;Siluro-Devonian granitic rocks & appinite;Caledonian (Silurian - Devonian);https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_06.pdf
1071;Siluro-Devonian granitic rocks & appinite;Caledonian (Silurian - Devonian);https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_06.pdf
1072;Siluro-Devonian granitic rocks & appinite;Caledonian (Silurian - Devonian);https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_06.pdf
1073;Siluro-Devonian granitic rocks & appinite;Caledonian (Silurian - Devonian);https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_06.pdf
1074;Siluro-Devonian granitic rocks & appinite;Caledonian (Silurian - Devonian);https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_06.pdf
1075;Siluro-Devonian granitic rocks & appinite;Caledonian (Silurian - Devonian);https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_06.pdf
1076;Siluro-Devonian granitic rocks & appinite;Caledonian (Silurian - Devonian);https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_06.pdf
1077;Siluro-Devonian granitic rocks & appinite;Caledonian (Silurian - Devonian);https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_06.pdf
1078;Siluro-Devonian granitic rocks & appinite;Caledonian (Silurian - Devonian);https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_06.pdf
1079;Siluro-Devonian granitic rocks & appinite;Caledonian (Silurian - Devonian);https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_06.pdf
1080;Siluro-Devonian granitic rocks & appinite;Caledonian (Silurian - Devonian);https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_06.pdf
1081;Siluro-Devonian granitic rocks & appinite;Caledonian (Silurian - Devonian);https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_06.pdf
1082;Siluro-Devonian granitic rocks & appinite;Caledonian (Silurian - Devonian);https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_06.pdf
1083;Siluro-Devonian granitic rocks & appinite;Caledonian (Silurian - Devonian);https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_06.pdf
1084;Siluro-Devonian granitic rocks & appinite;Caledonian (Silurian - Devonian);https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_06.pdf
1085;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
1086;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
1087;Visean limestone & calcareous shale;Palaeozoic, Carboniferous, Mississippian;https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_09.pdf
1088;Siluro-Devonian granitic rocks & appinite;Caledonian (Silurian - Devonian);https://gsi.geodata.gov.ie/downloads/Bedrock/Books/Understanding_Earth_Processes_Rocks_and_Geology_Ireland/Chapter_06.pdf
